Seq_ID	Species
STX12081_19	Cyclospora cayetanensis
STX12091_19	Cyclospora cayetanensis
STX12261_19	Cyclospora cayetanensis
SWI10011_22	Cyclospora cayetanensis
SWI10161_22	Cyclospora cayetanensis
SWI10241_22	Cyclospora cayetanensis
SWI10461_22	Cyclospora cayetanensis
SWI10471_22	Cyclospora cayetanensis
CFL10011_19	Cyclospora cayetanensis
CFL10021_19	Cyclospora cayetanensis
CFL10051_19	Cyclospora cayetanensis
CFL10061_19	Cyclospora cayetanensis
CFL10091_19	Cyclospora cayetanensis
CFL10101_19	Cyclospora cayetanensis
CFL10111_19	Cyclospora cayetanensis
CFL10121_19	Cyclospora cayetanensis
CFL10131_19	Cyclospora cayetanensis
CFL10141_19	Cyclospora cayetanensis
CGA10101_19	Cyclospora cayetanensis
CWI10131_19	Cyclospora cayetanensis
SMN10071_19	Cyclospora cayetanensis
SMN10101_19	Cyclospora cayetanensis
SMN10131_19	Cyclospora cayetanensis
SMN10211_19	Cyclospora cayetanensis
SMN10251_19	Cyclospora cayetanensis
SNY10861_19	Cyclospora cayetanensis
SNY10921_19	Cyclospora cayetanensis
SNY10931_19	Cyclospora cayetanensis
SNY11301_19	Cyclospora cayetanensis
SNY11311_19	Cyclospora cayetanensis
SNY11441_19	Cyclospora cayetanensis
SNY11511_19	Cyclospora cayetanensis
SNY11551_19	Cyclospora cayetanensis
SNY11641_19	Cyclospora cayetanensis
SNY11711_19	Cyclospora cayetanensis
SNY12121_19	Cyclospora cayetanensis
SNY12221_19	Cyclospora cayetanensis
SNY12281_19	Cyclospora cayetanensis
SNY12291_19	Cyclospora cayetanensis
SNY12301_19	Cyclospora cayetanensis
SNY12321_19	Cyclospora cayetanensis
SNY13171_19	Cyclospora cayetanensis
SNY13461_19	Cyclospora cayetanensis
SNY13481_19	Cyclospora cayetanensis
SNY13521_19	Cyclospora cayetanensis
SNY13761_19	Cyclospora cayetanensis
SNY13841_19	Cyclospora cayetanensis
CMN10882_20	Cyclospora cayetanensis
C_CA017_18	Cyclospora cayetanensis
CAZ10012_18	Cyclospora cayetanensis
CFL10211_20	Cyclospora cayetanensis
CVA10031_19	Cyclospora cayetanensis
CVA10041_19	Cyclospora cayetanensis
S_TX010_18	Cyclospora cayetanensis
SNY10021_20	Cyclospora cayetanensis
SNY10071_20	Cyclospora cayetanensis
SNY10101_20	Cyclospora cayetanensis
SNY10121_22	Cyclospora cayetanensis
SNY10181_20	Cyclospora cayetanensis
SNY10261_20	Cyclospora cayetanensis
SNY10341_20	Cyclospora cayetanensis
SNY10371_22	Cyclospora cayetanensis
SNY10701_22	Cyclospora cayetanensis
SNY10741_20	Cyclospora cayetanensis
SNY10851_22	Cyclospora cayetanensis
SNY10891_19	Cyclospora cayetanensis
SNY10901_19	Cyclospora cayetanensis
SNY11061_19	Cyclospora cayetanensis
SNY11081_20	Cyclospora cayetanensis
SNY11111_19	Cyclospora cayetanensis
SNY11131_19	Cyclospora cayetanensis
SNY11161_19	Cyclospora cayetanensis
SNY11191_19	Cyclospora cayetanensis
SNY11221_19	Cyclospora cayetanensis
SNY11261_20	Cyclospora cayetanensis
SNY11281_22	Cyclospora cayetanensis
SNY11291_19	Cyclospora cayetanensis
SNY11421_19	Cyclospora cayetanensis
SNY11451_20	Cyclospora cayetanensis
SNY11471_20	Cyclospora cayetanensis
SNY11521_19	Cyclospora cayetanensis
SNY11581_19	Cyclospora cayetanensis
SNY11581_20	Cyclospora cayetanensis
SNY11591_19	Cyclospora cayetanensis
SNY11731_19	Cyclospora cayetanensis
SNY11761_19	Cyclospora cayetanensis
SNY11792_19	Cyclospora cayetanensis
SNY11801_19	Cyclospora cayetanensis
SNY11811_19	Cyclospora cayetanensis
SNY11931_19	Cyclospora cayetanensis
SNY12111_22	Cyclospora cayetanensis
SNY13411_19	Cyclospora cayetanensis
SNY13421_19	Cyclospora cayetanensis
SNY13431_19	Cyclospora cayetanensis
SNY13491_19	Cyclospora cayetanensis
SNY13591_19	Cyclospora cayetanensis
STN10122_21	Cyclospora cayetanensis
STX10051_20	Cyclospora cayetanensis
STX10071_20	Cyclospora cayetanensis
C_IL044_18	Cyclospora cayetanensis
C_IL081_18	Cyclospora cayetanensis
SNY11971_19	Cyclospora cayetanensis
CFL10751_21	Cyclospora cayetanensis
CMI10031_21	Cyclospora cayetanensis
CMN10111_21	Cyclospora cayetanensis
CWI10071_21	Cyclospora cayetanensis
CWI10261_21	Cyclospora cayetanensis
SNY10341_21	Cyclospora cayetanensis
SNY10511_21	Cyclospora cayetanensis
CAZ10051_22	Cyclospora cayetanensis
CCT10021_21	Cyclospora cayetanensis
CFL10081_22	Cyclospora cayetanensis
CFL10241_22	Cyclospora cayetanensis
CFL10301_22	Cyclospora cayetanensis
CFL10951_21	Cyclospora cayetanensis
CFL11561_22	Cyclospora cayetanensis
CFL12441_22	Cyclospora cayetanensis
CGA11361_22	Cyclospora cayetanensis
CIL10061_19	Cyclospora cayetanensis
CIL10221_22	Cyclospora cayetanensis
CIN10072_21	Cyclospora cayetanensis
CMI10231_22	Cyclospora cayetanensis
CMI10261_21	Cyclospora cayetanensis
CMN10171_20	Cyclospora cayetanensis
CMN10401_21	Cyclospora cayetanensis
CMN10542_21	Cyclospora cayetanensis
CTN10041_21	Cyclospora cayetanensis
CUK10171_16	Cyclospora cayetanensis
CUK10241_16	Cyclospora cayetanensis
CWI10051_21	Cyclospora cayetanensis
CWI10561_21	Cyclospora cayetanensis
ION10031_19	Cyclospora cayetanensis
ION10121_18	Cyclospora cayetanensis
ION10121_22	Cyclospora cayetanensis
ION10251_22	Cyclospora cayetanensis
ION10271_22	Cyclospora cayetanensis
ION10291_22	Cyclospora cayetanensis
IQC10121_22	Cyclospora cayetanensis
IQC10171_22	Cyclospora cayetanensis
