Seq_ID	Assigned_cluster
CNE10131_20	5
CNE10142_21	5
CNE10151_20	5
CNE10161_20	5
CNE10171_20	5
CNE10181_20	5
CNE10191_20	47
CNE10201_20	5
CNE10211_20	47
CNE10231_20	5
CNE10261_20	5
CNE10271_20	47
CNE10281_20	5
CNE10291_20	5
CNE10311_20	47
CNE10321_20	47
CNE10331_20	47
CNE10342_20	47
CNE10361_20	47
CNE10371_20	5
CNE10401_20	5
CNE10421_20	5
CNE10431_20	47
CNE10441_20	5
CNE10471_20	5
CNE10481_20	5
CNE10521_20	26
CNE10541_20	5
CNE10601_20	1
CNE10631_20	1
CNE10661_20	7
CNE10691_20	1
CNE10751_20	1
CNE51831_16	49
CNE51861_16	27
CNH10021_19	36
CNH10031_19	43
CNJ10081_19	58
COH07221_14	13
COH10041_19	10
COH10061_19	58
COH10151_19	29
CRI10011_19	43
CRI10021_19	43
CRI10031_19	43
CSC10011_21	5
CSC10031_22	7
CSC10041_22	7
CSC10051_22	7
CSC10061_22	7
CSC10071_22	7
CSC10081_22	7
CSC10091_22	7
CSC10101_22	7
CSC10121_22	14
CSC10131_22	7
CSC10141_22	7
CSC10151_22	7
CSC10161_22	7
CSC10191_22	7
CSC10211_22	7
CTN10031_20	9
CTN10041_20	9
CTN10041_21	4
CTN10051_20	9
CTN10061_20	9
CTN10071_20	9
CTN10081_20	40
CTN10101_20	9
CTN10111_20	9
CTN10121_20	9
CTN10161_21	33
CTX04741_16	7
CTX05031_16	15
CTX29661_17	44
CTX55381_15	41
CTX55442_15	17
CTX55551_15	59
CTX55562_15	42
CTX63541_15	11
CUK10011_15	1
CUK10011_16	54
CUK10011_17	10
CUK10021_16	1
CUK10021_18	60
CUK10031_15	61
CUK10031_18	1
CUK10051_16	17
CUK10051_17	43
CUK10051_18	1
CUK10061_16	7
CUK10061_XX	1
CUK10071_17	12
CUK10071_XX	1
CUK10081_17	7
CUK10081_19	1
CUK10091_16	18
CUK10101_16	44
CUK10111_18	56
CUK10131_16	7
CUK10141_16	7
